timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-09 15:16:36,"b'@detikcom Kira2 logika ini bisa dipakai pada kasus ""ekonomi mandek 5% dsarankan pemerintah membatalkan pemindahan ibukota guna menaikan kesejahteraan rakyat"" ga yah?'",Helloki14730934,[],8
2020-02-09 13:18:57,b'Jokowi Yakin 2024 Pemindahan Ibukota Sudah\xc2\xa0Terlaksana https://t.co/wLrqRgSrRW https://t.co/kzPzN89eTk',Realitarakyat01,[],122
2020-02-09 12:51:56,"b'Memandang Penajam Paser Utara waktu itu anda tidak bertanya pada masyarakat adat paser balik &amp; warga lokal, apa pemindahan ibukota itu baik ?\n\nAnda tidak bertanya bagaimana awal mula masyarakat menetap &amp; bertahan hidup, bagaimana anda bisa merasa bisa ibukota baru ini dikelola ? https://t.co/foAJqgMGe0'",Merah_Johansyah,[],2635
2020-02-09 11:27:30,"b'Bapak gue masih suka debat sama gue wkwk (maksudnya debat tntng masalah pemindahan ibukota misal wkwk)\nJadi ceritanya, Dosennya bapak gue lagi jelasin, trus mungkin karena penjelasan dosennya menurut bapak gue kurang akurat.\nDan terjadilah perdebatan antara bapak gue dan dosennya'",aaeerriinnaa,[],16
2020-02-09 11:06:07,"b'@KakekHalal @aniesbaswedan Semangat pak @aniesbaswedan \nSetidaknya kalo sampai 2 periode, anda ikut andil membantu dalam pemindahan ibukota negara \xf0\x9f\x99\x8f'",nomerempat_,[],22
2020-02-09 11:01:18,b'Pengalaman pemindahan dan pembangunan Ibukota Australia diharapkan dapat memperkaya wawasan bagi pembangunan Ibukota baru \xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\n#inidiplomasi #indonesianway https://t.co/P1Mflc0sNv',INAEmbAUS,"['inidiplomasi', 'indonesianway']",4590
2020-02-09 09:52:42,"b'Cerita seperti ini juga yang harus diketahui khlayak RAKYAT.\nPemindahan Ibukota itu MEKANISMENYA bagaimana?\nTernyata UU nya blm ada, RUU apalagi. Kalau sekedar wacana, ya gak usah RIBUT dl lah.\nFEASIBILITY STUDY sdh blm? https://t.co/IfiyZjwq8k'",gigariva,[],754
2020-02-09 09:43:54,b'@batasnaluri Virus Corona menyerang..\n\nBandar TEKOR..\n\nPemindahan Ibukota..\xe2\x9d\x93\n\nDibatalkan..\xe2\x9d\x97',zulhendribasri2,[],1507
2020-02-09 08:19:25,b'@CNNIndonesia Rakyat indonesia menolak pemindahan ibukota baru',AdityaRembong,[],75
2020-02-09 04:13:28,"b'GAMKI Dukung Pemindahan Ibukota, Wujud Indonesia\xc2\xa0Sentris https://t.co/8O8y9d3S7X https://t.co/3xbXIXuDtu'",beritalimacom,[],1447
2020-02-09 01:16:50,b'@RamliRizal @jokowi Siapa menanam angin pasti akan menuai badai. Siapa yang suka ngutang pasti pusing tujuh keliling bayar pokok dan bunga pinjaman.\nTUNDA DULU NGUTANG UNTUK PEMINDAHAN IBUKOTA.',safirasafifra,[],14
2020-02-08 15:04:50,b'Dan tidak kalah penting mencarikan solusi DKI sbg Ibukota Negara dari bencana BANJIR.\nBanjir dipelupuk mata tp sedikitpun anda tidak berani berkomentar. Ketika rencana pemindahan Ibukota Negara diberitakan anda keras menolak.\nDKI banjir anda seakan tak berdaya utk komentar. NAIF! https://t.co/FzOnTbvNMx',WinHardy3,[],31
2020-02-08 09:40:28,"b'Maaf, Jokowi itu tidak butuh dukungan menolak ex ISIS, beliao kan ""Tiada punya beban"", seperti contohnya adalah pemindahan ibukota juga TIADA BUTUH SUARA RAKYAT, kitalah yang butuh NKRI aman sentosa sejahtera ..\n#NKRIhargamati \xf0\x9f\x87\xae\xf0\x9f\x87\xa9 \n#TolakEksISIS https://t.co/O83JQTCSf6'",musashi_masabi,"['NKRIhargamati', 'TolakEksISIS']",1082
2020-02-08 09:15:51,b'ROCKY GERUNG &amp; FAISAL BASRI KOMPAK KRITIK JOKOWI SOAL IBUKOTA BARU INDONESIA\n#rockygerung #faisalbasri #jokowi #jokowidodo #IbuKotaNegara #Indonesia \nhttps://t.co/Q8AY0SRSba via @tribunpontianak',tribunpontianak,"['rockygerung', 'faisalbasri', 'jokowi', 'jokowidodo', 'IbuKotaNegara', 'Indonesia']",83975
2020-02-08 08:06:25,b'Presiden Jokowi Gelar Ratas Lanjutan Rencana Pemindahan Ibukota https://t.co/ddkxI1yBTu',Siahaan_Boy,[],94
2020-02-08 06:48:47,b'@republikaonline Pemindahan ibukota bukti janji palsu jokowi sebelum jadi presiden',sungfisio,[],10
2020-02-08 06:29:31,"b'@Namaku_Mei Sejak jaman belanda kota batavia/jakarta skrg sdh pny predikat kota jorok, penyakit disentri &amp; kolera mewabah, tk layak ibukota\nMaka dr itu mari kita mendukung pemindahan ibukota oleh pemerintah \nhttps://t.co/0vyviXutPe'",widarto72094379,[],512
